brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,year_sold,price_per_sqft
7463.0,for_sale,725000.0,3.0,1.0,0.13,1179137.0,San Diego,California,92105.0,1066.0,2007-05-24,2007.0,680.1125703564728
45179.0,for_sale,620000.0,2.0,1.0,0.12,1553479.0,San Diego,California,92114.0,972.0,2018-10-24,2018.0,637.8600823045267
9314.0,for_sale,862000.0,3.0,2.0,0.23,769060.0,San Diego,California,92105.0,1139.0,2016-06-23,2016.0,756.8042142230026
22611.0,for_sale,899000.0,2.0,1.0,0.13,1253854.0,San Diego,California,92115.0,868.0,2000-03-24,2000.0,1035.7142857142858
7037.0,for_sale,785000.0,4.0,4.0,0.56,833497.0,San Diego,California,92139.0,1547.0,2016-02-23,2016.0,507.43374272786036
83166.0,for_sale,999000.0,4.0,2.0,0.13,1497423.0,San Diego,California,92115.0,1271.0,2018-04-30,2018.0,785.9952793076318
34982.0,for_sale,1100000.0,3.0,2.0,0.12,1305010.0,San Diego,California,92115.0,1564.0,2022-01-04,2022.0,703.3248081841432
14956.0,for_sale,349000.0,2.0,1.0,10.92,452890.0,San Diego,California,92105.0,813.0,2021-03-01,2021.0,429.27429274292746
24269.0,for_sale,315000.0,2.0,1.0,,1231749.0,San Diego,California,92113.0,753.0,2020-07-23,2020.0,418.32669322709165
23592.0,for_sale,769999.0,4.0,3.0,0.27,1397904.0,San Diego,California,92139.0,2361.0,2002-05-31,2002.0,326.132570944515
10340.0,for_sale,869000.0,2.0,1.0,0.05,1108073.0,San Diego,California,92116.0,624.0,2009-07-22,2009.0,1392.628205128205
36389.0,for_sale,725000.0,3.0,2.0,0.15,1320242.0,San Diego,California,92102.0,1284.0,2022-02-16,2022.0,564.6417445482866
11574.0,for_sale,1098000.0,3.0,2.0,0.1,1256441.0,San Diego,California,92115.0,1304.0,2021-10-18,2021.0,842.0245398773006
100922.0,for_sale,685000.0,4.0,2.0,,1064364.0,San Diego,California,92154.0,1338.0,1976-03-18,1976.0,511.95814648729447
33482.0,for_sale,2350000.0,12.0,9.0,0.16,1183750.0,San Diego,California,92105.0,5920.0,1994-04-21,1994.0,396.9594594594595
76766.0,for_sale,635000.0,4.0,2.0,,882517.0,San Diego,California,92139.0,1566.0,2004-04-16,2004.0,405.4916985951469
66438.0,for_sale,720000.0,3.0,2.0,0.13,1334309.0,San Diego,California,92154.0,1040.0,2016-08-25,2016.0,692.3076923076923
53016.0,for_sale,399000.0,2.0,2.0,,1187180.0,San Diego,California,92105.0,840.0,2021-11-30,2021.0,475.0
30756.0,for_sale,569000.0,3.0,3.0,,1484978.0,San Diego,California,92154.0,1646.0,2019-04-10,2019.0,345.68651275820173
